Cabo Verde,CPV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,7.87682,5.04361,,5.00144,4.96387,5.26691,5.28879,5.18175,,,
Cambodia,KHM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.65599,1.72222,1.71121,1.51069,1.5609,2.05054,1.90939,,,,2.16286,,
Cameroon,CMR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.77992,2.42418,,2.76677,2.69718,2.76802,2.68713,2.76805,2.65423,3.15482,3.1312,,
Canada,CAN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.442,4.96956,5.01073,5.27444,,,,,,,,,
Caribbean small states,CSS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Cayman Islands,CYM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Central African Republic,CAF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.61265,,1.51957,1.10792,,,,,,,,,
Central Europe and the Baltics,CEB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Chad,TCD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.64671,2.42614,,2.2579,2.20615,2.85071,,,,2.45482,,,
Channel Islands,CHI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Chile,CHL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.77583,,4.08121,4.04519,,4.52943,4.73095,4.87531,5.34201,5.41946,,,
China,CHN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Colombia,COL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.51121,3.70868,4.26813,4.46608,4.37039,4.87855,4.62946,4.47039,4.47721,4.53551,4.45749,,
Comoros,COM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,2.25842,2.83045,2.74784,2.38276,2.74473,2.54506,,,,,
"Congo, Dem. Rep.",COD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,2.06221,1.95143,2.17044,2.11869,1.45495,,,
"Congo, Rep.",COG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,3.20832,,,,4.0172,4.56147,,5.46505,3.51105,,
Costa Rica,CRI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.68696,4.8511,5.17354,6.45535,6.68984,6.84934,6.86952,7.08254,7.09768,7.31572,6.97857,7.04876,
